Word,Level
civilian,C2
clash,C2
clash,C2
climate,C2
biology,A2
chicken,A2
access,B1
behavior,B1
care,B1
chance,B1
absence,B2
agriculture,B2
balance,B2
board,B2
cardboard,B2
centigrade,B2
chaos,B2
cloth,B2
aid,C1
applause,C1
archaeology,C1
brass,C1
coal,C1
age,C2
alarm,C2
artificial intelligence,C2
assembly,C2
awe,C2
baggage,C2
bark,C2
blackmail,C2
blood,C2
bribery,C2
bureaucracy,C2
cause,C2
color,C2
color,C2
afternoon,A1
age,A1
April,A1
August,A1
building,A2
chain,A2
change,A2
change,A2
advantage,B1
attack,B1
battle,B1
benefit,B1
challenge,B1
chance,B1
charge,B1
chili,B1
cod,B1
absence,B2
abuse,B2
abuse,B2
advance,B2
advantage,B2
analysis,B2
backup,B2
belief,B2
campus,B2
class,B2
collapse,B2
abuse,C1
analogy,C2
bias,C2
bureaucracy,C2
burial,C2
cargo,C2
catastrophe,C2
chili,C2
accommodations,B2
belongings,B2
bacteria,C1
atmosphere,B1
bottom,B1
background,B2
act,C2
air,C2
buzz,C2
chill,C2
change,B1
begin,A1
come,A1
arrive,A2
chat,A2
close,A2
appear,B1
appear,B1
apply,B1
blog,B1
burn,B1
agree,B2
apply,B2
belong,B2
brake,B2
climb,B2
collapse,B2
collapse,B2
come,B2
come,B2
agree,C1
arise,C1
beware,C1
collaborate,C1
bubble,C2
buzz,C2
buzz,C2
clash,C2
clash,C2
clash,C2
coincide,C2
coincide,C2
collapse,C2
buy,A1
check,A1
believe,A2
accompany,B1
admire,B1
allow,B1
answer,B1
change,B1
comb,B1
abandon,B2
abolish,B2
absorb,B2
accept,B2
accept,B2
accuse,B2
affect,B2
amuse,B2
approach,B2
balance,B2
block,B2
boost,B2
catch,B2
catch,B2
cause,B2
chop,B2
abandon,C1
absorb,C1
accomplish,C1
acknowledge,C1
address,C1
alarm,C1
allocate,C1
allow,C1
anticipate,C1
apply,C1
assign,C1
associate,C1
assure,C1
attain,C1
block,C1
bully,C1
cap,C1
classify,C1
address,C2
advocate,C2
alert,C2
allow,C2
amend,C2
appreciate,C2
arouse,C2
assemble,C2
attach,C2
back,C2
bind,C2
bind,C2
blackmail,C2
block,C2
boast,C2
carry,C2
carry,C2
chase,C2
cloud,C2
color,C2
begin,A2
break,A2
break,A2
call,A2
change,A2
change,A2
change,A2
click,A2
accept,B1
agree,B1
attack,B1
bite,B1
boil,B1
bounce,B1
break,B1
burn,B1
charge,B1
check,B1
alter,B2
balance,B2
bend,B2
benefit,B2
blink,B2
bother,B2
break,B2
burst,B2
chew,B2
chew,B2
close,B2
coach,B2
collect,B2
accelerate,C1
accumulate,C1
allow,C1
applaud,C1
bet,C1
broaden,C1
cater,C1
arch,C2
assemble,C2
battle,C2
beat,C2
break,C2
catch,C2
circle,C2
click,C2
air force,B1
angel,B1
bomb,B1
chapel,C2
bombing,B2
assault,C2
combat,C2
bribe,C1
assault,C2
combat,C2
boiling,B2
bear,C2
asleep,C2
awesome,A2
blue,C2
big,C1
cast,C2
acceptable,B1
capable,B2
available,A2
clinical,C1
alphabetical,B2
additional,B2
artificial,B2
beneficial,B2
chemical,B2
coastal,B2
artificial,C2
clinical,C2
arrogant,B2
animated,B1
addicted,B2
advanced,A2
advanced,B1
attached,B2
barbecued,B1
boiled,B1
canned,B2
amazed,B1
annoyed,B1
ashamed,B1
bored,B1
addicted,B2
amused,B2
astonished,B2
bad-tempered,B2
bothered,B2
animated,C2
closed,C2
adopted,B2
closed,A1
better,A1
better,A1
beautiful,A1
beautiful,A1
careful,A2
cheerful,B1
cheerful,B2
artistic,B2
classic,B2
chronic,C2
basic,B1
basic,B1
basic,B1
authentic,C1
academic,B2
apologetic,C2
charismatic,C2
atomic,B2
automatic,B2
amazing,A2
amusing,B1
appalling,C2
boring,A1
amazing,B1
annoying,B1
charming,B1
astonishing,B2
caring,B2
circulation,C2
circulation,C2
childish,B2
childish,B2
capitalist,C2
active,C1
attractive,A2
aggressive,B2
assertive,C2
careless,B1
actually,A2
badly,A2
badly,A2
certainly,A2
certainly,A2
clearly,A2
absolutely,B1
actually,B1
clearly,B1
actually,B2
admittedly,B2
alternatively,B2
apparently,B2
apparently,B2
basically,B2
badly,A2
approximately,B1
adequately,B2
badly,B2
brightly,B2
barely,C1
beautifully,B1
amazingly,B1
angrily,B1
bravely,B1
aggressively,B2
anxiously,B2
boldly,B2
brilliantly,B2
calmly,B2
carelessly,B2
cheerfully,B2
closely,B2
automatically,B2
arrangement,B1
anxious,B1
adventurous,B2
ambitious,B2
anxious,B2
cautious,B2
bloody,B2
chatty,C1
bulky,C1
cloudy,A2
chatty,C1
alcoholic,B1
alcoholic,C2
biological,B2
abstract,B2
all right,A2
alive,B1
asleep,B1
awake,B1
blind,B1
bump,C1
casual,B1
brief,B1
absolute,B2
clichéd,C2
coherent,C2
anyway,A2
anyway,A2
back,A2
anyway,B1
besides,B1
anyhow,B2
anyhow,B2
anyhow,B2
anyhow,C1
bracket,C1
ban,B2
bad,A1
best,A1
big,A1
black,A1
blue,A1
brown,A1
clean,A1
close,A1
average,A2
awful,A2
back,A2
bad,A2
bright,A2
broken,A2
clear,A2
ancient,B1
antique,B1
average,B1
bad,B1
bad,B1
blank,B1
brand new,B1
brilliant,B1
broad,B1
clever,B1
colorful,B1
absurd,B2
accurate,B2
adequate,B2
adequate,B2
appropriate,B2
approximate,B2
bizarre,B2
bold,B2
breathtaking,B2
circular,B2
abnormal,C1
average,C1
bare,C1
adjacent,C2
awesome,C2
bland,C2
bleak,C2
above,A1
back,A1
below,A1
above,A2
across,A2
anywhere,A2
around,A2
away,A2
apart,B1
around,B1
away,B1
behind,B1
below,B1
alongside,C1
beyond,C1
bottom,A1
be,A1
bitter,B1
bland,C2
affluent,C1
